厂商,上游模型,Trinity ID,档位,官方价,上游价,刊例价,上游vs官方,刊例vs上游
千问,qwen-mt-lite,-,统一价,—,入 ¥0.6 · 出 ¥1.6 · 缓 ⚠,—,—,—
千问,qwen-mt-plus,-,统一价,—,入 ¥1.8 · 出 ¥5.4 · 缓 ⚠,—,—,—
千问,qwen-mt-turbo,-,统一价,—,入 ¥0.7 · 出 ¥1.95 · 缓 ⚠,—,—,—
千问,qwen-plus,qwen-plus,0<Token≤128K,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,入 $0.4 · 出 $1.2 · 缓 $0.04,✅ 一致,⚠ 入-69.2% 出-74.4% 缓-38.5%
,,,128K<Token≤256K,入 ¥2.4 · 出 ¥20 · 缓 ¥0.48,入 ¥2.4 · 出 ¥20 · 缓 ¥0.48,入 $0.4 · 出 $1.2 · 缓 $0.04,✅ 一致,⚠ 入-20% 出+122.2% 缓+60%
,,,256K<Token≤1M,入 ¥4.8 · 出 ¥48 · 缓 ¥0.96,入 ¥4.8 · 出 ¥48 · 缓 ¥0.96,入 $0.4 · 出 $1.2 · 缓 $0.04,✅ 一致,⚠ 出+233.3% 缓+100%
千问,qwen-plus-2025-04-28,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-plus-2025-07-14,-,无阶梯计价,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-plus-2025-07-28,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-plus-2025-09-11,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-plus-2025-12-01,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-plus-latest,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥2 · 缓 ¥0.16,—,—,—
千问,qwen-tts-realtime,-,统一价,—,入 ¥2.4 · 出 ¥12 · 缓 ⚠,—,—,—
千问,qwen-tts-realtime-2025-07-15,-,统一价,—,入 ¥2.4 · 出 ¥12 · 缓 ⚠,—,—,—
千问,qwen-tts-realtime-latest,-,统一价,—,入 ¥2.4 · 出 ¥12 · 缓 ⚠,—,—,—
千问,qwen-turbo,qwen-turbo,统一价,入 ¥0.3 · 出 ¥0.6,入 ¥0.3 · 出 ¥0.6 · 缓 ⚠,入 $0.05 · 出 $0.2 · 缓 $0.005,✅ 一致,⚠ 出-50%
千问,qwen-vl-ocr,-,统一价,—,入 ¥0.3 · 出 ¥0.5 · 缓 ⚠,—,—,—
千问,qwen-vl-ocr-2024-10-28,-,统一价,—,入 ¥5 · 出 ¥5 · 缓 ⚠,—,—,—
千问,qwen-vl-ocr-2025-04-13,-,统一价,—,入 ¥5 · 出 ¥5 · 缓 ⚠,—,—,—
千问,qwen-vl-ocr-2025-08-28,-,统一价,—,入 ¥5 · 出 ¥5 · 缓 ⚠,—,—,—
千问,qwen-vl-ocr-2025-11-20,-,统一价,—,入 ¥0.3 · 出 ¥0.5 · 缓 ⚠,—,—,—
千问,qwen-vl-ocr-latest,-,统一价,—,入 ¥0.3 · 出 ¥0.5 · 缓 ⚠,—,—,—
千问,qwen2.5-omni-7b,-,统一价,—,入 ¥0.6 · 出 ¥38 · 缓 ⚠,—,—,—
千问,qwen3-8b,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen3-14b,-,统一价,—,入 ¥1 · 出 ¥4 · 缓 ⚠,—,—,—
千问,qwen3-30b-a3b,-,统一价,—,入 ¥0.75 · 出 ¥3 · 缓 ⚠,—,—,—
千问,qwen3-30b-a3b-instruct-2507,-,统一价,—,入 ¥0.75 · 出 ¥3 · 缓 ⚠,—,—,—
千问,qwen3-32b,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
千问,qwen3-235b-a22b,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
千问,qwen3-235b-a22b-instruct-2507,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
千问,qwen3-coder-30b-a3b-instruct,-,0<Token≤32K,—,入 ¥1.5 · 出 ¥6 · 缓 ⚠,—,—,—
千问,qwen3-coder-480b-a35b-instruct,-,0<Token≤32K,—,入 ¥6 · 出 ¥24 · 缓 ⚠,—,—,—
千问,qwen3-coder-flash,-,0<Token≤32K,—,入 ¥1 · 出 ¥4 · 缓 ¥0.2,—,—,—
千问,qwen3-coder-flash-2025-07-28,-,0<Token≤32K,—,入 ¥1 · 出 ¥4 · 缓 ¥0.2,—,—,—
千问,qwen3-coder-next,-,0<Token≤32K,—,入 ¥1 · 出 ¥4 · 缓 ⚠,—,—,—
千问,qwen3-coder-plus,-,0<Token≤32K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
千问,qwen3-coder-plus-2025-07-22,-,0<Token≤32K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
千问,qwen3-coder-plus-2025-09-23,-,0<Token≤32K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
千问,qwen3-livetranslate-flash,-,统一价,—,入 ¥10 · 出 ¥4 · 缓 ⚠,—,—,—
千问,qwen3-livetranslate-flash-2025-12-01,-,统一价,—,入 ¥10 · 出 ¥4 · 缓 ⚠,—,—,—
千问,qwen3-max,-,0<Token≤32K,—,入 ¥2.5 · 出 ¥10 · 缓 ¥0.5,—,—,—
,,,32K<Token≤128K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
,,,128K<Token≤256K,—,入 ¥7 · 出 ¥28 · 缓 ¥1.4,—,—,—
千问,qwen3-max-2025-09-23,-,0<Token≤32K,—,入 ¥6 · 出 ¥24 · 缓 ¥1.2,—,—,—
,,,32K<Token≤128K,—,入 ¥10 · 出 ¥40 · 缓 ¥2,—,—,—
,,,128K<Token≤256K,—,入 ¥15 · 出 ¥60 · 缓 ¥3,—,—,—
千问,qwen3-max-2026-01-23,-,0<Token≤32K,—,入 ¥2.5 · 出 ¥10 · 缓 ¥0.5,—,—,—
,,,32K<Token≤128K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
,,,128K<Token≤256K,—,入 ¥7 · 出 ¥28 · 缓 ¥1.4,—,—,—
千问,qwen3-max-preview,-,0<Token≤32K,—,入 ¥6 · 出 ¥24 · 缓 ¥1.2,—,—,—
,,,32K<Token≤128K,—,入 ¥10 · 出 ¥40 · 缓 ¥2,—,—,—
,,,128K<Token≤256K,—,入 ¥15 · 出 ¥60 · 缓 ¥3,—,—,—
千问,qwen3-next-80b-a3b-instruct,-,统一价,—,入 ¥1 · 出 ¥4 · 缓 ⚠,—,—,—
千问,qwen3-omni-30b-a3b-captioner,-,统一价,—,入 ¥15.8 · 出 ¥12.7 · 缓 ⚠,—,—,—
千问,qwen3-vl-8b-instruct,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen3-vl-8b-thinking,-,统一价,—,入 ¥0.5 · 出 ¥5 · 缓 ⚠,—,—,—
千问,qwen3-vl-30b-a3b-instruct,-,统一价,—,入 ¥0.75 · 出 ¥3 · 缓 ⚠,—,—,—
千问,qwen3-vl-30b-a3b-thinking,-,统一价,—,入 ¥0.75 · 出 ¥7.5 · 缓 ⚠,—,—,—
千问,qwen3-vl-32b-instruct,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
千问,qwen3-vl-32b-thinking,-,统一价,—,入 ¥2 · 出 ¥20 · 缓 ⚠,—,—,—
千问,qwen3-vl-235b-a22b-instruct,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
千问,qwen3-vl-235b-a22b-thinking,-,统一价,—,入 ¥2 · 出 ¥20 · 缓 ⚠,—,—,—
千问,qwen3.5-27b,-,0<Token≤128K,—,入 ¥0.6 · 出 ¥4.8 · 缓 ⚠,—,—,—
千问,qwen3.5-35b-a3b,-,0<Token≤128K,—,入 ¥0.4 · 出 ¥3.2 · 缓 ⚠,—,—,—
千问,qwen3.5-122b-a10b,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥6.4 · 缓 ⚠,—,—,—
千问,qwen3.5-397b-a17b,-,0<Token≤128K,—,入 ¥1.2 · 出 ¥7.2 · 缓 ⚠,—,—,—
千问,qwen3.5-flash,qwen3.5-flash,0<Token≤128K,入 ¥0.2 · 出 ¥2 · 缓 ¥0.02,入 ¥0.2 · 出 ¥2 · 缓 ¥0.04,入 $0.1 · 出 $0.4 · 缓 $0.01,⚠ 缓+100%,⚠ 入-69.2% 出-23.1% 缓-38.5%
,,,128K<Token≤256K,入 ¥0.8 · 出 ¥8 · 缓 ¥0.08,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,入 $0.1 · 出 $0.4 · 缓 $0.01,⚠ 缓+100%,⚠ 出+150% 缓+100%
,,,256K<Token≤1M,入 ¥1.2 · 出 ¥12 · 缓 ¥0.12,入 ¥1.2 · 出 ¥12 · 缓 ¥0.24,入 $0.1 · 出 $0.4 · 缓 $0.01,⚠ 缓+100%,⚠ 出+150% 缓+100%
千问,qwen3.5-flash-2026-02-23,-,0<Token≤128K,—,入 ¥0.2 · 出 ¥2 · 缓 ¥0.04,—,—,—
,,,128K<Token≤256K,—,入 ¥0.8 · 出 ¥8 · 缓 ¥0.16,—,—,—
,,,256K<Token≤1M,—,入 ¥1.2 · 出 ¥12 · 缓 ¥0.24,—,—,—
千问,qwen3.5-ocr,-,统一价,—,入 ¥0.5 · 出 ¥2 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-flash,-,统一价,—,入 ¥2.2 · 出 ¥18 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-flash-2026-03-15,-,统一价,—,入 ¥2.2 · 出 ¥18 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-flash-realtime,-,统一价,—,入 ¥3.3 · 出 ¥27 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-flash-realtime-2026-03-15,-,统一价,—,入 ¥3.3 · 出 ¥27 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-plus,-,统一价,—,入 ¥7 · 出 ¥53 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-plus-2026-03-15,-,统一价,—,入 ¥7 · 出 ¥53 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-plus-realtime,-,统一价,—,入 ¥10 · 出 ¥80 · 缓 ⚠,—,—,—
千问,qwen3.5-omni-plus-realtime-2026-03-15,-,统一价,—,入 ¥10 · 出 ¥80 · 缓 ⚠,—,—,—
千问,qwen3.5-plus,qwen3.5-plus,0<Token≤128K,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.08,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.16,入 $0.4 · 出 $2.4 · 缓 $0.04,⚠ 缓+100%,⚠ 入-69.2% 出-69.2% 缓-38.5%
,,,128K<Token≤256K,入 ¥2 · 出 ¥12 · 缓 ¥0.2,入 ¥2 · 出 ¥12 · 缓 ¥0.4,入 $0.4 · 出 $2.4 · 缓 $0.04,⚠ 缓+100%,⚠ 入-33.3% 出-33.3% 缓+33.3%
,,,256K<Token≤1M,入 ¥4 · 出 ¥24 · 缓 ¥0.4,入 ¥4 · 出 ¥24 · 缓 ¥0.8,入 $0.4 · 出 $2.4 · 缓 $0.04,⚠ 缓+100%,⚠ 缓+100%
千问,qwen3.5-plus-2026-02-15,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.16,—,—,—
千问,qwen3.5-plus-2026-04-20,-,0<Token≤128K,—,入 ¥0.8 · 出 ¥4.8 · 缓 ¥0.16,—,—,—
千问,qwen3.6-27b,-,0<Token≤256K,—,入 ¥3 · 出 ¥18 · 缓 ⚠,—,—,—
千问,qwen3.6-35b-a3b,-,0<Token≤256K,—,入 ¥1.8 · 出 ¥10.8 · 缓 ⚠,—,—,—
千问,qwen3.6-flash,qwen3.6-flash,0<Token≤256K,入 ¥1.2 · 出 ¥7.2 · 缓 ¥0.24,入 ¥1.2 · 出 ¥7.2 · 缓 ¥0.24,入 $0.25 · 出 $1.5 · 缓 $0.025,✅ 一致,⚠ 入-33.8% 出-33.8% 缓+32.4%
,,,256K<Token≤1M,入 ¥4.8 · 出 ¥28.8 · 缓 ¥0.96,入 ¥4.8 · 出 ¥28.8 · 缓 ¥0.96,入 $0.25 · 出 $1.5 · 缓 $0.025,✅ 一致,⚠ 缓+100%
千问,qwen3.6-flash-2026-04-16,-,0<Token≤256K,—,入 ¥1.2 · 出 ¥7.2 · 缓 ¥0.24,—,—,—
,,,256K<Token≤1M,—,入 ¥4.8 · 出 ¥28.8 · 缓 ¥0.96,—,—,—
千问,qwen3.6-max-preview,-,0<Token≤128K,—,入 ¥9 · 出 ¥54 · 缓 ¥1.8,—,—,—
,,,128K<Token≤256K,—,入 ¥15 · 出 ¥90 · 缓 ¥3,—,—,—
千问,qwen3.6-plus,qwen3.6-plus,0<Token≤256K,入 ¥2 · 出 ¥12 · 缓 ¥0.4,入 ¥2 · 出 ¥12 · 缓 ¥0.4,入 $0.5 · 出 $3 · 缓 $0.05,✅ 一致,⚠ 入-38.5% 出-38.5% 缓+23.1%
,,,256K<Token≤1M,入 ¥8 · 出 ¥48 · 缓 ¥1.6,入 ¥8 · 出 ¥48 · 缓 ¥1.6,入 $0.5 · 出 $3 · 缓 $0.05,✅ 一致,⚠ 缓+100%
千问,qwen3.6-plus-2026-04-02,-,0<Token≤256K,—,入 ¥2 · 出 ¥12 · 缓 ¥0.4,—,—,—
千问,qwen3.7-max,qwen3.7-max,0<Token≤1M,入 ¥12 · 出 ¥36 · 缓 ¥2.4,入 ¥12 · 出 ¥36 · 缓 ¥2.4,入 $2.5 · 出 $7.5 · 缓 $0.25,✅ 一致,⚠ 入-33.8% 出-33.8% 缓+32.4%
千问,qwen3.7-max-2026-05-17,-,0<Token≤1M,—,入 ¥12 · 出 ¥36 · 缓 ¥2.4,—,—,—
千问,qwen3.7-max-2026-05-20,-,0<Token≤1M,—,入 ¥12 · 出 ¥36 · 缓 ¥2.4,—,—,—
千问,qwen3.7-max-2026-06-08,-,0<Token≤1M,—,入 ¥12 · 出 ¥36 · 缓 ¥2.4,—,—,—
千问,qwen3.7-max-preview,-,0<Token≤1M,—,入 ¥12 · 出 ¥36 · 缓 ¥2.4,—,—,—
千问,qwen3.7-plus,qwen3.7-plus,0<Token≤256K,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 $0.4 · 出 $1.6 · 缓 $0.04,✅ 一致,⚠ 入-33.3% 出-33.3% 缓+33.3%
,,,256K<Token≤1M,入 ¥6 · 出 ¥24 · 缓 ¥1.2,入 ¥6 · 出 ¥24 · 缓 ¥1.2,入 $1.2 · 出 $4.8 · 缓 $0.12,✅ 一致,⚠ 入-33.3% 出-33.3% 缓+33.3%
千问,qwen3.7-plus-2026-05-26,-,0<Token≤256K,—,入 ¥2 · 出 ¥8 · 缓 ¥0.4,—,—,—
千问,qwq-plus,-,统一价,—,入 ¥1.6 · 出 ¥4 · 缓 ⚠,—,—,—
千问,tongyi-xiaomi-analysis-flash,-,统一价,—,入 ¥0.2 · 出 ¥0.4 · 缓 ⚠,—,—,—
千问,tongyi-xiaomi-analysis-pro,-,统一价,—,入 ¥1.0 · 出 ¥2.7 · 缓 ⚠,—,—,—
声动人像VideoRetalk,video-style-transform,-,统一价,—,入 ⚠ · 出 ¥0.2 · 缓 ⚠,—,—,—
通义法睿,tongyi-intent-detect-v3,-,统一价,—,入 ¥0.4 · 出 ¥1 · 缓 ⚠,—,—,—
行业模型,farui-plus,-,统一价,—,入 ¥20 · 出 ¥20 · 缓 ⚠,—,—,—
意图理解,gui-plus,-,统一价,—,入 ¥1.5 · 出 ¥4.5 · 缓 ⚠,—,—,—
意图理解,qwen-flash-character,-,统一价,—,入 ¥0.25 · 出 ¥1.5 · 缓 ⚠,—,—,—
意图理解,qwen-flash-character-2026-02-26,-,统一价,—,入 ¥0.18 · 出 ¥1.5 · 缓 ⚠,—,—,—
意图理解,qwen-plus-character,-,统一价,—,入 ¥0.8 · 出 ¥2 · 缓 ⚠,—,—,—
智谱,minimax-m2.1,-,统一价,—,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.21,—,—,—
智谱,minimax-m2.5,minimax-m2.5,统一价,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.21,入 ¥2.1 · 出 ¥8.4 · 缓 ¥0.21,入 $0.323077 · 出 $1.292308 · 缓 $0.032308,✅ 一致,✅ 一致
DeepSeek,deepseek-ocr,-,统一价,—,入 ¥0.216 · 出 ¥0.216 · 缓 ¥0.0432,—,—,—
DeepSeek,deepseek-v3-0324,-,统一价,—,入 ¥2 · 出 ¥8 · 缓 ⚠,—,—,—
DeepSeek,deepseek-v3.1-terminus,-,统一价,—,入 ¥4 · 出 ¥12 · 缓 ¥1.6,—,—,—
DeepSeek,deepseek-v3.2-think,-,统一价,—,入 ¥2 · 出 ¥3 · 缓 ¥0.2,—,—,—
DeepSeek,kimi-k2-thinking,-,统一价,—,入 ¥4 · 出 ¥16 · 缓 ⚠,—,—,—
DeepSeek,kimi-k2.5,kimi-k2.5,统一价,入 ¥4 · 出 ¥21 · 缓 ¥0.7,入 ¥4 · 出 ¥21 · 缓 ¥0.7,入 $0.615385 · 出 $3.230769 · 缓 $0.107692,✅ 一致,✅ 一致
DeepSeek,kimi-k2.6,kimi-k2.6,统一价,入 ¥6.5 · 出 ¥27 · 缓 ¥1.1,入 ¥6.5 · 出 ¥27 · 缓 ¥1.0985,入 $1 · 出 $4.153846 · 缓 $0.169231,✅ 一致,✅ 一致
DeepSeek,kimi-k2.7-code,kimi-k2.7-code,统一价,入 ¥6.5 · 出 ¥27 · 缓 ¥1.3,入 ¥6.5 · 出 ¥27 · 缓 ⚠,入 $1 · 出 $4.153846 · 缓 ⚠,✅ 一致,✅ 一致
DeepSeek,moonshot-kimi-k2-instruct,-,统一价,—,入 ¥4 · 出 ¥16 · 缓 ⚠,—,—,—
Kimi,glm-4.5,-,0<Token≤32K,—,入 ¥3 · 出 ¥14 · 缓 ¥0.6,—,—,—
,,,32K<Token≤96K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
Kimi,glm-4.5-air,-,0<Token≤32K,—,入 ¥0.8 · 出 ¥6 · 缓 ¥0.16,—,—,—
,,,32K<Token≤96K,—,入 ¥1.2 · 出 ¥8 · 缓 ¥0.24,—,—,—
Kimi,glm-4.6,-,0<Token≤32K,—,入 ¥3 · 出 ¥14 · 缓 ¥0.6,—,—,—
,,,32K<Token≤166K,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
Kimi,glm-4.7,-,0<Token≤32K,入 ¥3 · 出 ¥14 · 缓 ¥0.6,入 ¥3 · 出 ¥14 · 缓 ¥0.6,—,✅ 一致,—
,,,32K<Token≤166K,入 ¥4 · 出 ¥16 · 缓 ¥0.8,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,✅ 一致,—
Kimi,glm-5,glm-5,0<Token≤32K,入 ¥4 · 出 ¥18 · 缓 ¥1,入 ¥4 · 出 ¥18 · 缓 ¥0.8,入 $0.615385 · 出 $2.769231 · 缓 $0.153846,⚠ 缓-20%,⚠ 缓-20%
,,,32K<Token≤198K,入 ¥6 · 出 ¥22 · 缓 ¥1.5,入 ¥6 · 出 ¥22 · 缓 ¥1.2,入 $0.923077 · 出 $3.384615 · 缓 $0.230769,⚠ 缓-20%,⚠ 缓-20%
Kimi,glm-5.1,glm-5.1,0<Token≤32K,入 ¥6 · 出 ¥24 · 缓 ¥1.3,入 ¥6 · 出 ¥24 · 缓 ¥1.2,入 $0.923077 · 出 $3.692308 · 缓 $0.2,⚠ 缓-7.7%,⚠ 缓-7.7%
,,,32K<Token≤200K,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥1.6,入 $1.230769 · 出 $4.307692 · 缓 $0.307692,⚠ 缓-20%,⚠ 缓-20%
Kimi,glm-5.2,glm-5.2,不区分阶梯,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥2,入 $1.230769 · 出 $4.307692 · 缓 $0.307692,✅ 一致,✅ 一致
