原厂 modelId,Trinity ID,显示名,厂商,分辨率档,厂商官方,AIGC国内,AIGC国际,TokenHub,火山方舟,线上刊例,AIGC国内vs官方,AIGC国际vs官方,TokenHub vs官方,火山vs官方,刊例结论,备注
,,,,2K,¥0.22/张,¥0.22/张,$0.0339/张,—,—,$0.0339/张,✅,✅,—,—,价✅,
,,,,4K,¥0.22/张,¥0.22/张,$0.0339/张,—,—,$0.0339/张,✅,✅,—,—,价✅,
kling-2.1,kling-2.1,可灵,可灵,1K,¥0.1/张,¥0.1/张,$0.014/张,—,—,$0.013793/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.1/张,¥0.1/张,$0.014/张,—,—,$0.077241/张,✅,⚠-9%,—,—,🔍待核验 价⚠+402.1%,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.26/张,¥0.26/张,$0.037/张,—,—,—,✅,⚠-7.5%,—,—,ℹ 线上无同档刊例,灵感值/Credits 计价，无公开按张 API 价目
kling-3,kling-3.0,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
kling-3.0-omni,kling-3.0-omni,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
kling-o1,kling-o1,可灵,可灵,1K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,2K,¥0.2/张,¥0.2/张,$0.028/张,—,—,$0.0308/张,✅,⚠-9%,—,—,价✅,灵感值/Credits 计价，无公开按张 API 价目
,,,,4K,¥0.4/张,¥0.4/张,$0.056/张,—,—,$0.055172/张,✅,⚠-9%,—,—,价⚠-10.3%,灵感值/Credits 计价，无公开按张 API 价目
hunyuan-image-3,hunyuan-3.0,混元,混元,输出,¥0.2/张,—,—,—,—,—,—,—,—,—,ℹ 线上无同档刊例,Trinity Hunyuan-3.0 · 官方与 hy-image-v3.0 同价 0.2元/张
hy-image-lite,hy-image-lite,混元,混元,输出,¥0.099/张,—,—,—,—,—,—,—,—,—,— 未上架,TokenHub hy-image-lite · 混元生图极速版
hy-image-v3.0,hy-image-v3.0,混元,混元,输出,¥0.2/张,—,—,—,—,—,—,—,—,—,— 未上架,TokenHub hy-image-v3.0 · API 混元生图 3.0
doubao-seedream-4.0,si-4.0,豆包,豆包,1K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.2/张,¥0.2/张,$0.0308/张,—,¥0.2/张,$0.0308/张,✅,✅,—,✅,价✅,
doubao-seedream-4.5,si-4.5,豆包,豆包,1K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.25/张,¥0.25/张,$0.0385/张,—,¥0.25/张,$0.0385/张,✅,✅,—,✅,价✅,
doubao-seedream-5.0-lite,si-5.0-lite,豆包,豆包,1K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
,,,,2K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
,,,,4K,¥0.22/张,¥0.22/张,$0.0339/张,—,¥0.22/张,$0.0339/张,✅,✅,—,✅,价✅,
qwen-image-0925,qwen-0925,通义,通义,输出,¥0.25/张,—,—,—,—,—,—,—,—,—,ℹ 线上无同档刊例,Trinity qwen-0925 · 百炼 API qwen-image（统一 ¥0.25/张）
